sen_coding,votes
"En zelfs de twaalf verenigingen die dicht bij hun leden staan omdat ze zich inzetten voor lokaal landschapsbehoud, zoals Het Utrechts Landschap en It Fryske Gea, zagen hun aanhang teruglopen met 4.180 opzeggingen (nu 304.504 leden).",0.0
Hoe is het om in de jury te zitten?,2.0
En dan even terug naar gisteravond.,2.0
De komende weken gaan ze bedenken wie er in de regering moeten komen.,0.0
Het eiland werd twee weken geleden zwaar getroffen door orkaan Maria.,0.0
"Ja, dat had je dan maar eerder moeten bedenken, he.",1.0
"Ik weet nog dat ik tegen Peter zei: Laten we maar klappen, misschien houdt hij dan op.",0.0
Wat mij betreft wel.,1.0
Het gruwelijke is dat we zelf hebben bijgedragen aan deze gekte.,1.0
Hij maakte na bijna twee jaar zijn rentree bij Oranje.,0.0
David Cassidy overleed in een ziekenhuis in Florida op 67-jarige leeftijd.,0.0
Tussendoor schijnt af en toe de zon en wordt het 4 tot 6 graden.,0.0
"Om te zorgen dat ze niet alleen in de Deense en Zweedse wateren rondzwemmen... maar ook in de rest van de Noordzee, zoals hier in Nederland.",0.0
Maar misschien wel een beetje meer dan hiervoor.,0.0
"En als die snel verdwijnt, wordt het mooi zonnig en zo 'n 9 graden.",0.0
En toen had ik door dat iedereen die daarnaar keek mij leuk vond.,0.0
"Kijk, dit shirt hebben ze ook aan.",0.0
Op een gegeven moment was er alleen maar eten.,0.0
"Dus als je dat belooft, moet je dat nakomen.",1.0
Daar moet ik nog een beginnetje mee maken.,0.0
Tegen zes verdachten van de Decembermoorden... inclusief de hoofdverdachte Desi Bouterse... is inmiddels de maximale straf geeist: 20 jaar.,0.0
Ik ben heel benieuwd.,1.0
"Praat er nog even over door in de klas, Wij zijn vanavond weer op tv.",0.0
Leraren van basisscholen gaan dan staken.,0.0
Het weer: Eerst valt er nog een bui.,0.0
Heel veel kinderen sturen spamberichtjes... omdat ze zelf denken dat het grappig is.,0.0
"Op de basisschool gamede ik veel, dus dan wist ik al wat woorden.",0.0
Hij moet elke ochtend heel vroeg opstaan om de huisjes te melken.,0.0
Of KUNNEN jullie geen lid worden?,2.0
Die is live te zien vanaf 15 uur.,0.0
De vraag was of het getal 51.695 hem iets zegt.,0.0
We moeten toegeven dat zelfs wij als betrokken student het soms lastig vinden om te zien... ...waar die investeringen naartoe gaan... ...en hoe zij terecht komen bij studenten... ...en wat dan de impact is op de individuele student.,1.0
"Het complete regeerakkoord is nog geheim, dat hebben we nog niet.",0.0
"De PvdA wil graag meer salaris voor docenten, de VVD ook wel... maar die wil eerst overleggen met partijen die misschien in de nieuwe regering komen.",0.0
En hoe zit dat dan bij hbo en wo?,2.0
Meer dan 800 mensen raakten gewond.,0.0
De politie besloot beelden te publiceren omdat ze bang waren dat de kleuter nog misbruikt werd.,0.0
Voor dat onderzoek is natuurlijk geld nodig.,0.0
Schoten van bijna 100 km/u.,0.0
"Maar dat ze nu nog leuker zijn, met games.",1.0
"De grote leider Mugabe staat onder huisarrest, net als zijn vrouw en enkele ministers.",0.0
Ik heb het heel vaak als ik een sliding maak dat m 'n hele been open ligt.,0.0
Want Nederland mag dan een klein landje zijn; op sportgebied horen we vaak bij de beste van de wereld.,0.0
Het is geen festival.,0.0
"Uh, uh, uh... tu-tub tobbetato-boem.",2.0
Ik heb er wel zin in.,1.0
"Zelfs in de winter of misschien wel juist in de winter, in een korte broek lopen.",2.0
"Odinga verloor toen, maar zijn aanhangers accepteerden de uitslag niet.",0.0
Het is een kinderfeest.,0.0
"Maar ja, het verhoor en het onderzoek gaat natuurlijk onverminderd voort.",0.0
De Kamerleden hebben ook een soort herfstvakantie.,0.0
Dinsdag legden de chauffeurs voor korte tijd het werk neer.,0.0
We zijn er weer.,0.0
Iedereen kan hier komen en zaken doen.,0.0
"Nou, volgens de politie is er in ieder geval één ding dat we niet moeten doen: betalen.",0.0
Dat is inmiddels gebeurd.,0.0
"'Ik ben al met water en azijn aan de slag gegaan, wat moet ik doen? '",0.0
Maar de Palestijnen claimen Oost-Jeruzalem als hoofdstad voor hun toekomstige staat.,0.0
Dan doe je er rozijntjes in en baksoda.,0.0
Zijn jullie er klaar voor?,2.0
Vrijwel iedere zorgverzekeraar vergoedt zulke dingen.,0.0
Vanuit de lucht is goed te zien hoe groot de branden zijn.,0.0
Ik denk dat het niet heel moeilijk is... als we het een paar keer doen dat 't dan wel lukt.,1.0
Hoe gaat het met je YouTube kanaal?,2.0
Maar het is niet voor niets: het wereldrecord staat op zijn naam.,0.0
Mensen verzamelden zich bij het stadhuis... en liepen van daar naar het herdenkingsmonument bij de Mozes en A xc2 xa4ronkerk.,0.0
"Deze, gewoon heel streng: mag niet.",1.0
Wat doet dat met hem?,2.0
Men vertrouwde op de deskundigheid van de leerkracht.,0.0
Hij liet ze dingen doen die ze niet wilden.,0.0
Onterecht genieten de achteloze optimisten sympathie in de media.,1.0
En dat geldt voor iedereen hier: Ze hebben allemaal een vader of moeder die bij de universiteit werkt.,0.0
"En met dit belangrijke nieuws, waren er natuurlijk een boel journalisten in Den Haag die alles over de nieuwe plannen willen weten.",0.0
Stuur ons een filmpje met je vraag en wie weet laten we die aan hem zien.,0.0
"Plasterk herkent de kritiek, maar zegt dat Nederland juist veel gedaan heeft... in bijvoorbeeld de gezondheidszorg en het onderwijs.",0.0
Vorige maand stak er ook al een militair de gedemilitariseerde zone naar Zuid-Korea over.,0.0
"Maar dit is... Ik denk, wat moet ik hiermee.",1.0
Het onderzoek was van ruimteorganisatie NASA.,0.0
"Het wordt 6 graden in Zeeland, in de rest van het land zo 'n 4.",0.0
Op onze eigen site laten veel kinderen iets achter voor Tijn.,0.0
"Ik BEN CDA, ik BLIJF CDA, ik word nooit van mijn leven van de PVV!!",1.0
Dat dan uitgerekend de CEO 's van de belangrijkste bedrijven van Amerika weglopen... dat corporate Amerika als het ware hem de rug toekeert dat is echt heel substantieel.,1.0
Die zaten veel meer in de boeken.,0.0
"Nou zoek je regenjas en paraplu maar vast op, want het wordt een hele natte dag.",0.0
"Nou, ze leven godzijdank nog allemaal.",1.0
"MUZIEK Ja, in Nederland moeten de jongens nog een beetje werken aan hun bekendheid.",0.0
"Als je geluiden hoort dan focus je er wel op, maar dan blijf je toch wel in je stille lichaam.",0.0
Hoe kon het dat militairen om het leven komen door hun eigen materiaal Onderzoekers hebben dat heel precies uitgezocht.,0.0
"Maar dan kom je weer de grondwet tegen: Artikel 23, vrijheid van onderwijs... waardoor iedereen geloof scholen mag stichten op kosten van de staat!",0.0
Maar tot die tijd is het lekker doorwerken.,1.0
En de muren zijn gescheurd.,0.0
En dat is natuurlijk wel een groepsknuffel waard.,1.0
Woon je in Rotterdam en wil je later in de haven gaan werken?,2.0
Of extreem te gaan sporten.,2.0
"En dat is dus de derde zachte g... waarmee de onderwereld doordringt in de bovenwereld, de gemeenteraad.",0.0
Een gewapende man gijzelde een vrouw.,0.0
Dus ik leer hun iets en ik krijg er ook iets voor terug.,0.0
"En pas nog stuurde een andere Amerikaanse waakhond, de FTC, een waarschuwing rondom corona.",0.0
En dat is dus de reden dat de ene stagiair nul euro krijgt... ...en dan ander wel 1000 per maand.,0.0
Ten onrechte wordt echter de suggestie gewekt dat de vraag naar biobrandstoffen een van de grootste boosdoeners is.,0.0
Naast de 50 beroepsmolenaars... zijn er momenteel een paar honderd vrijwillige molenaars die wind- en watermolens laten draaien.,0.0
"We staan ook voor het hoofdkantoor van de politie, dat zie je hier.",0.0
Dan even kijken naar het weer van morgen.,0.0
"En zo ja, wanneer en wat gaan ze dan precies doen?",2.0
Je appt als je op de fiets zit?,2.0
De jongeman in het zwarte gewaad is een strenge salafistische moslim.,0.0
Daarom zijn er wel wat regels.,0.0
Maar ook leuk om andere kinderen te zien en te ontmoeten.,1.0
En nog meer wintersportnieuws uit Canada.,0.0
"Dick Advocaat zegt dat hij een plan heeft, maar dat is nog geheim.",0.0
En kun je je blijven swipen van duur huurhuis naar duur huurhuis...,2.0
"Ja, het is ongelooflijk.",1.0
Het gaat flink sneeuwen op veel plaatsen.,0.0
Een van de sprekers was haar moeder.,0.0
Faya uit IJmuiden mailde ons over een naar ongeluk in de buurt van een zebrapad.,0.0
En waar haal je die middeltjes?,2.0
Maar het was echt heel raar eigenlijk.,1.0
"Niemand raakte gewond, wel kwam er veel rook vrij.",0.0
Als er ineens een medicijnagentschap in de buurt komt.,0.0
"Wij kunnen vandaag wel met veel gene terugkijken op die episode, maar daarmee poetsen wij dat verleden niet weg.",1.0
Hij woont en verblijft in Amsterdam.,0.0
"Voor het precieze antwoord moet je bij het Rijksmuseum zijn, maar ik denk dat een dergelijke afweging is gemaakt.",1.0
Beauty-vloggers plakken zelfs nepwimpers aan de binnenkant van hun neus.,0.0
Koop niet zomaar iets via sociale media.,1.0
"Bedrijven kopen snel zoveel mogelijk kaartjes op, om die daarna voor veel geld door te verkopen.",0.0
En met de mensen uit de buurt die soms geld voor haar inzamelen.,0.0
Over de oorzaak is nog niets bekend en er vielen geen slachtoffers.,0.0
De man stak gistermiddag in een supermarkt een aantal mensen neer.,0.0
Wanneer was dat met de heren?,2.0
"Het wordt een wisselvallige dag met wat buien, maar ook regelmatig zon.",0.0
Maar hier hebben ze dat in grote hoeveelheden nodig.,0.0
Rond 20 uur vertrekken ze weer en dan hopen wij nog een paar speelsters te spreken.,0.0
De dieren worden gebruikt voor racewedstrijden er zijn schoonheidsverkiezingen... en ze dragen zware spullen door de woestijn.,0.0
Maar het is over.,0.0
"Vermoeidheid bij Schippers, maar ze trekt door.",0.0
De AO-meeting is een meeting van Anonieme Overeters.,0.0
"Nou, nee, niet echt.",2.0
Mij hoor je ook zeker niet klagen.,0.0
Vorig jaar kon ik mijn geluk niet op.,1.0
0.2 hebt dan heb je een verontreiniging.,0.0
APPLAUS En dan: Prins Bernhard Jr is in opspraak vanwege zijn vastgoedbedrijf.,0.0
Het weer: De regen trekt via het noorden weg.,0.0
In de zendtijd voor politieke partijen.,0.0
Tienduizenden reizigers strandden de afgelopen dagen op het vliegveld van Bali.,0.0
"'Ja, dan kun je je er wel druk om maken, maar je hebt er toch geen invloed op. '",1.0
En dus is ze heel blij met haar ouders.,0.0
Echt super om mee te maken.,1.0
Dat was een filmpje... toen ik op de middelbare school zat in het de eerste... heb ik die gemaakt.,0.0
"Goed, nog een plaatje dan.",2.0
En: over de hele wereld hebben kinderen weinig vertrouwen in wereldleiders.,0.0
Alleen in het noorden kan 's middags een buitje vallen.,0.0
Het duurt nog even voordat het Sinterklaas is... maar in de winkels is wel al veel lekkers te krijgen.,1.0
Maar de eerste klap is een daalder waard.,0.0
Geen sigaretten meer in buitenzwembaden.,0.0
Ze willen niet dat we het recht krijgen hun visionaire agenda's af te wijzen of te begrenzen.,0.0
Zuma wordt al jaren bekritiseerd door de oppositie.,0.0
"De medewerkers van het blad pleegden inbreuk op de privacy van Kate, oordeelt de rechtbank nu.",0.0
En daarom worden postzegels volgend jaar duurder.,0.0
Eenmaal terug in Nederland werd ze opgepakt.,0.0
Maar heel zielig; niemand laat het spinnetje binnen.,1.0
Het is een kinderfeest Kinderfeest.,0.0
De een loopt er best wel mee binnen... ...bij mijn eerste stage ongeveer 350... ...en mijn tweede stage 600 euro.,0.0
In Leende is het grootste drugslab van Nederland opgerold.,0.0
Oeeee... Wat een goede vraag.,1.0
En ik heb zelf ook dat ervaren.,0.0
De trein botste op een spoorwegovergang in volle vaart op de hoogwerker en ontspoorde.,0.0
Ik merk in elk geval wel dat ze daarna iets rustiger is.,1.0
En nieuwe afspraken te maken.,2.0
Dan zeg ik 'vergeten ' en dan tag ik ze weer.,0.0
Kan hij nog hoger komen?,2.0
"Herverdeling leidt kortom tot langdurige, stabiele groei.",0.0
Alle animatiefilms hebben wel iets met de dood.,0.0
"Nederland wil daar wel aan meebetalen, maar niet zomaar.",0.0
"Wanneer het niet of te zwak waait, moeten traditionele elektriciteitscentrales direct kunnen leveren de centrales die in korte tijd kunnen opstarten zijn de vuilste.",0.0
Onderzoek dus naar de sterkte van het Friese dijkasfalt bij Deltares in Delft.,0.0
Voor nu een fijne avond.,2.0
Deze bril volgt mijn ogen tijdens het rijden en kan zien waar ik op let.,0.0
Deze jongens zit iets dwars.,0.0
Er zijn steeds meer verschillende planten en dieren te vinden.,0.0
Ze zijn gewoon te laat om erover te klagen.,0.0
Het lopen gaat goed.,1.0
Filmpjes daarvan deden de ronde op sociale media.,0.0
VVD-gemeente Schermer zelfs plus 30 procent!,0.0
"Het stembureau waar ik net was, daar heeft bijna iedereen al gestemd.",0.0
Voor leraren op de basisschool was het een spannende dag.,0.0
Maar in India zijn ze inmiddels beroemdheden.,0.0
Vertaling: Angelique de Kroon.,0.0
In plaats daarvan moeten er georganiseerde vuurwerkshows komen.,1.0
Daardoor is trainen niet altijd makkelijk.,1.0
Mugabe is sinds 1980 aan de macht.,0.0
Een salafist is iemand die stelt dat hij gelooft dat de islam beleden moet worden... door zo strikt mogelijk en in zoveel mogelijk sferen van het leven... de eerste drie generaties moslims te imiteren.,0.0
Het is de bedoeling dat andere regio 's volgen.,0.0
Iedereen gaat altijd naar huis met glitter in zijn haar.,0.0
Die komt in alle gevangeniscellen te hangen.,0.0
"Het KIT komt - overigens net als mijn eigen instituut, het Koninklijk Instituut voor Taal, Land- en Volkenkunde - voort uit het Nederlandse kolonialisme.",0.0
Sikh zijn een minderheid en daarom is het gevaarlijk.,0.0
"En dan heb je de jihadi-salafisten, dat is verreweg de kleinste groep.",0.0
"Arend Meijer Het kabinet heeft besloten drie windparken op zee aan te leggen (Trouw, 27 september).",0.0
Voor wie geen Brabants verstaat: Je kunt ook gewoon de ondertiteling aanzetten.,0.0
Mag ik nog EEN keer een pleidooi houden voor 1992 misschien?,2.0
Weersdeskundigen hadden gewaarschuwd: ga niet de weg op.,0.0
Vooral bij zee kan het onweren en verder valt soms ook hagel of natte sneeuw.,0.0
Het is zover: de presentatie van het regeerakkoord.,0.0
En zo dreigt nu het KIT daarvan het slachtoffer te worden.,0.0
In Frankrijk wordt vandaag de moord op priester Jacques Hamel herdacht.,0.0
"Maar wie handelt in drugs, moet ook hiermee dealen.",0.0
Zullen we het even opmeten?,2.0
"En dan kwam er echt zo 'n dikke traan, dat was wel grappig.",1.0
Vorig jaar raakte een verkeersregelaar gewond na een aanrijding op de oversteek.,0.0
Ik dacht altijd dat stagevergoeding een soort loon was.,0.0
"Als je met fruit gaat ontbijten, kan dat best lukken.",0.0
Hij plaatste deze rekensom op Twitter.,0.0
De druk ligt op de schouders van deze vrouwen.,0.0
Ik wil dat ieder kind het volkslied kent!,1.0
Zonder elkaar heeft het leven geen zin.,1.0
Bij die zakelijke bezoekers heeft de stad het meeste baat.,0.0
Dit is een salafist in Frankrijk met zijn dochter.,0.0
Net als de vrouwen met elkaar.,2.0
En daarom zijn ze ook daar kritisch op Nederland.,0.0
Morgen temperaturen tussen 19 graden in het noordwesten... 21 in het oosten... en 22 in het zuidoosten.,0.0
We weten niet zeker of het zo is.,0.0
"Spoorboekloos rijden, noemt de NS het.",0.0
Op een muziekfestival werden 59 mensen gedood.,0.0
"Vannacht zijn er opklaringen, maar vanuit het zuiden gaat de bewolking langzamerhand toenemen.",0.0
"Eerst gebruikte de agent pepperspray, maar toen dat niet hielp, loste hij een schot.",0.0
De nieuwe sancties tegen Noord-Korea lijken niet het beoogde effect te hebben.,0.0
Dat klinkt alsof er een juffrouw van de gemeente langskomt... om het achterlijke buurjongetje af te trekken.,1.0
Als je in het wetboek kijkt: staat daar iets over afgesproken... ...hoeveel stagevergoeding ik moet krijgen?,0.0
"In eerste instantie moeten er ook zulke kantoren komen bij de vertrekpunten aan de Middellandse Zee, van Marokko tot in Egypte.",0.0
In de provincie Limburg lag voor het eerst dit jaar namelijk een klein laagje sneeuw.,0.0
Het vuur heeft zich verspreid over meer dan 120 vierkante kilometer.,0.0
"Tijdens Prinsjesdag was dat, maar het probleem is er nog.",0.0
Een keer op de Xbox en een keer op de Playstation.,0.0
"Nee, ik zou hem absoluut niet kunnen missen.",1.0
En de Chinese president.,2.0
"Want ook al was de ramp ruim een maand geleden; het eiland mag niet vergeten worden, vindt Zora.",0.0
"'Zo, wat ben jij ontzettend veel zwarte schmink aan het kopen. '",0.0
De hele zomer is Guusje te vinden in de strandtent van haar ouders.,0.0
Er is plek voor wel 6000 fietsen.,0.0
Ik was het zat.,1.0
We moeten meegeven dat de rechtsstaat heeft bewezen te bestaan.,1.0
"Wat we nu hebben afgesproken is, dat als je elke drie maanden een half uur bij kinderen bent... dan word je een vertrouwd gezicht.",0.0
Dat slaat nergens op.,1.0
En auto 's kunnen daar heel dichtbij parkeren.,0.0
"Dan roepen ze mandarijn, ginger, sinaasappel... Wortel... Tomaat.",0.0
Om 8:00 uur kan het stemmen tellen beginnen.,0.0
"Dat zei Nicky Opheij, uit Brabant.",0.0
De gestage afbraak van de rechtsstaat.,2.0
Ik hoop dat ik alles kan doen wat ik wil.,1.0
Hoe krijg je huisartsen naar Zeeland?,2.0
Die blijkt levensgevaarlijk te zijn voor baby 's.,0.0
Maar Utrecht creeert toch kansen.,0.0
Van elke partij een paar mensen.,2.0
"Ze moeten ervoor zorgen dat niemand, per ongeluk of expres, met een auto het plein op rijdt.",1.0
Van de vakjury kreeg Fource niet zo veel punten... maar bij de online-stemmers scoorden ze het hoogst.,0.0
Ze schreef meer dan 70 jeugdboeken.,0.0
"Om nog uit elkaars vijver te vissen, dat heeft niet zoveel zin.",1.0
"En als dat niet kan, dan maak ik er een end aan.",1.0
Natuurlijk wordt dat van haar verwacht.,1.0
"Als ik ergens mee begin, wil ik het ook afmaken ook... dus ik geef ook niet zo snel op.",1.0
"En dat is dus nooit één individu, maar dat is gewoon een heel samenwerkend geheel.",0.0
Milou kan je misschien wel helpen.,0.0
Supergrote wespen hebben mensen aangevallen in Eindhoven.,0.0
Ik reis elke dag van Amsterdam naar Eindhoven voor m 'n werk.,0.0
"Niet alleen de promovendus is afhankelijk van de hoogleraar, ook de universiteit.",0.0
Merkel heeft al haar afspraken voor vandaag afgezegd.,0.0
Op de computer van Madsen staan beelden van vrouwen die gemarteld worden en daarna onthoofd.,0.0
Kinderen van asielzoekers zouden niet naar Afghanistan moeten worden teruggestuurd.,0.0
Hoe meer hoe beter.,1.0
Maar toch is ook hij samen met nog acht andere republikeinen... tegen het huidige wetsvoorstel van zijn partijgenoten.,0.0
In Drenthe waren er vandaag demonstraties bij kippenboeren.,0.0
En je leert ook om gezonder te eten en zo.,0.0
Oranjevrouwen gehuldigd in Utrecht.,0.0
"De hockey-vrouwen hebben alle wedstrijden, die ze op 't toernooi speelden gewonnen.",0.0
Waar hij vandaag uitkwam?,2.0
Het is onrustig in de Duitse stad Hamburg.,0.0
"Hij is 0,2 sneller dan Nuis twee jaar geleden was.",0.0
Dan komen er meer toeristen en krijgt Zandvoort meer geld.,0.0
Hoe zorgen we ervoor dat het stopt?,2.0
Ze gaan echt voor elkaar door het vuur.,0.0
Ik vind het ook wel mooi en spannend en verfrissend.,1.0
Maar dat is niet zo.,0.0
En dan een grote kans voor Dessers!,0.0
De leiders van die partijen hebben een regeerakkoord gesloten.,0.0
We kunnen niet een debat voeren beginnend bij het allerprilste begin.,1.0
Het er met elkaar over hebben op de werkvloer zorgt er wel voor... dat je de regels naleeft en elkaar daarin scherp houdt.,1.0
"Hier, lekker soepje.",1.0
Ze stonden niet op de officiele klassenfoto.,0.0
Zit maar eens de hele dag in een stoel.,2.0
Ik schrik daar wel van.,1.0
Waarom is er een week tegen Kindermishandeling?,2.0
Jij hebt nieuw nieuws.,0.0
Als je als individuele burger slachtoffer wordt van ransomware... ...dan moet je missschien 100 of 200 of misschien 500 euro betalen.,0.0
Want dan kan die ransomware-aanval ook die back-ups treffen.,0.0
Meer nieuws vind je natuurlijk altijd op onze site en in de app.,0.0
Dat je dus echt wel ouders moet hebben die het kunnen betalen.,0.0
Wat gaat er nu gebeuren?,2.0
Niet zelden zijn het de moeilijkste momenten uit een mensenleven.,1.0
Het is een generaal.,0.0
In de Oosterschelde hebben duikers een bijzonder dier gespot: een zonnevis.,0.0
"Zijn die signalen, die er wel waren dan toch genegeerd door de overheid?",2.0
Die situatie waar de minister het over heeft?,2.0
De schermen zijn neergezet over een afstand van 300 meter.,0.0
Atoomspionage is dus al eens gelukt in Nederland.,0.0
Miljoenen Nederlanders deden mee aan de actie van Tijn.,0.0
Daar komt ze vrijdag aan.,0.0
"Niet met een liedje, maar met een filmpje waarin ze in de maling wordt genomen door haar broertje.",0.0
Dit is niet echt koken koken... Maar het is wel lekker en leuk om met z 'n allen te doen.,1.0
Er bestaat dus niet zoiets als: DE Nederlandse moslim.,0.0
Koning Bhumibol was heel populair.,0.0
"Dat kan EEN keer gebeuren, dat kan drie keer gebeuren.",0.0
Demonstranten maken er al sinds gisteravond ruzie met de politie.,0.0
De regering van Sint-Maarten heeft ja gezegd tegen een hulpplan van Nederland.,0.0
"Aan de andere kant beroepen die zullen blijven bestaan, omdat er creativiteit, design of leiderschap voor nodig is, of omdat ze menselijke aanraking vereisen.",0.0
Want die zwartepietendiscussie is op dit moment nog minder gezellig... dan een verjaardagsfeestje in Raqqa waar je niemand kent.,1.0
MUZIEK We beginnen in hartje Utrecht.,0.0
"MUZIEKJE Ja, dit liedje ken je vast.",0.0
Want er zijn strengere regels gekomen voor video 's op die site.,0.0
Dit hadden wij alleen maar mogen dromen.,1.0
Ze doen transparant hun werk.,0.0
Armoede zorgt voor onzekerheid en stress.,1.0
Sinds gisteravond is hij vrij Man.,0.0
Ouders van jonge kinderen hadden geklaagd bij de rechter.,0.0
"Leuke avond nog, doeg!",2.0
Daarbij kwamen drie Duitse toeristen om het leven.,0.0
"Ook zijn ze spannend, wordt er in gescholden of kun je soms naakte vrouwen zien, of seks.",0.0
Sjinkie Knegt gaat soleren naar z 'n tweede wereldtitel op de relay.,0.0
"Hij haalt regelmatig pranks uit, heeft met z 'n ouders en zus ook een familiekanaal... en is open over z 'n priveleven.",0.0
Politici praatten de hele dag over het salaris van de juffen en meesters.,0.0
Die moet je eruit halen.,2.0
Een aanpak die zou moeten worden gecoördineerd door teams van specialisten die thuis zijn in de biotopen van de kwaadwillenden en die bekend zijn met de media waarmee ze communiceren.,1.0
Dus het wordt een lastige klus.,1.0
En er zijn bedrijven die twijfelen.,0.0
"Stel je hebt zin in een pannenkoek, maar geen zin om er eentje te bakken.",2.0
De komende dagen wordt beter weer verwacht.,0.0
"En daarna denk ik van: Oke, ik ben zen, dus ik kan het weer aan.",0.0
We kijken naar de dagen daarna.,0.0
't Zijn een paar voorbeelden van klusjes die jonge mantelzorgers doen.,0.0
Of hij effe kon invallen.,2.0
"Maar dat had weinig effect, omdat ze geen vaste woon- of verblijfplaats hebben.",0.0
Het lichaam kan heel veel hebben.,0.0
"Maar hoe zit het met bijvoorbeeld de euro en de buitenlandpolitiek, Syri xc2 xab?",2.0
"Boeren worden benaderd, huisvrouwen in geldnood ook.",0.0
Als dat goed gaat zal Marria daarna waarschijnlijk... de andere apen bij Stichting Aap ontmoeten.,0.0
Dus ik heb vertrouwen dat het Nederlands elftal er vol ingaat.,1.0
Ik hoop dat het goed gelukt is... en ik vind het een eer dat ik het heb mogen maken.,1.0
Om het piektekort op te vangen zijn ongeveer zes gascentrales voldoende.,0.0
Hoe is het mogelijk!?,2.0
"Je laat je politieke tegenstanders opsluiten, dat deed Maduro deze zomer.",0.0
Bepaal jij of hij speelt?,2.0
Dat lijkt de conclusie te worden.,0.0
Hoe is het om Dirk Kuijt te zijn?,2.0
Er is altijd wat te doen.,0.0
En dan nog meer in de categorie: Eten met een gekke vorm.,0.0
Binge eating disorder staat namelijk pas sinds 2013 als officiële diagnose in de DSM.,0.0
Dit was na de operatie?,2.0
Aan de andere kant is het op universiteiten juist de bedoeling dat je kennis deelt.,0.0
Dat komt voor een belangrijk deel omdat de werkloosheid nu in moordend tempo daalt.,0.0
Er wordt veel over gepraat en jullie kunnen ook meedoen.,0.0
Op ons YouTube kanaal vind je meer van dit soort verhalen.,0.0
Aan de economieprijs is een bedrag verbonden van 950.000 euro.,0.0
Met deze 1700 zonnepanelen hoopt de universiteit in 2020 zeker een kwart van z 'n energie zelf op te wekken.,0.0
Die reflecteren en breken het licht.,0.0
Vooral als ik 1 miljoen abonnees heb.,2.0
Maar de pijn die ik voel door de organisatie in deze staat te verlaten... staat in schril contrast tot de pijn van het verlies van deze twee gewaardeerde collega 's.,0.0
Kroonenberg laat zien dat ons klimaat het einde van een warme cyclus heeft bereikt.,0.0
"Ik zou ervoor naar de bioscoop gaan, hoor.",1.0
"Ze gaan lekker, maar ze hebben nog een aantal handtekeningen nodig... op sleepwet.nl, dus teken or leave it.",1.0
Tegen de tijd dat er een geleidelijke lijsttrekker moet komen dan is hij waarschijnlijk al volledig geaccepteerd door alle leden van de SP als de leider.,1.0
Bij 9 op de 10 bedrijven die antwoordden... ...krijg je per opleidingsniveau een ander bedrag.,0.0
Dan zie je ook heel vaak dat mensen heel erg opgelucht zijn.,1.0
Doordat steeds meer teken een virus of bacterie met zich meedragen... is de kans dat je ziek wordt van een tekenbeet dus ook groter.,0.0
"Vervuilende, maar op dit moment nog goedkope energie - zoals die uit kolen - zal op die manier worden ontmoedigd.",0.0
"En ja, dan zeggen grote mensen.",2.0
Als je vroeger wilde sms 'en moest je eerst beltegoed kopen.,0.0
"Zij was jurist, maar ze heeft een carriereswitch gemaakt.",0.0
Deze mensen zitten met Thanksgiving dus niet thuis aan de kalkoen... maar zijn met forse kortingen inkopen aan het doen.,0.0
Daarom is de test dit jaar anders: alleen de 75 beste bakkers worden genoemd.,0.0
Maar natuurlijk ook van je opleiding.,2.0
"En de ander werkt zich in het zweet voor... ...helemaal niks... ...ik krijg helemaal niks, nee... ...niks... ...ik krijg geen stagevergoeding.",0.0
"De eenheid en stabiliteit van Spanje lopen gevaar, zei de koning.",0.0
Maar is er uberhaupt iets te zeggen over hoe het verder gaat vanmiddag?,2.0
"Oké, die verkopers zijn dus niet rechtstreeks in dienst van een bedrijf, maar zijn zelfstandig.",0.0
En als je ze dan ook vertelt dat wat ze beschrijven tijdens zo'n eetbui... ...dat heel veel mensen dat beschrijven.,0.0
Ze moeten niet te dicht bij elkaar.,1.0
Criminelen IN de gemeenteraad!,2.0
De E-divisie - de voetbalcompetitie voor gamers - is begonnen.,0.0
"Hij had wel een verklaring geschreven, die zijn advocaten voorlazen.",0.0
"Ik was heel bang dat als ik het zou doen, dat mijn credibility... Je geloofwaardigheid.",1.0
Maar de hockeyers moesten ook aan het werk.,0.0
Ik was altijd wat aan het doen.,0.0
Dat blijkt uit een onderzoek.,0.0
Met de autovrije dag wil de stad mensen aanmoedigen om vaker de auto te laten staan en te lopen of de fiets te pakken.,0.0
Want de Nederlandse regering heeft vandaag bekend gemaakt... dat ze 550 miljoen euro aan het eiland geeft.,0.0
"Dat wisten ze zelf al een tijdje, want de finale-uitzending was al eerder opgenomen.",0.0
Daarom schreef hij dus zelf een natuurkundeboek.,0.0
"Wat gebeurt er met jou als je hier komt binnenrijden, wat denk je dan?",2.0
Er zijn twee mogelijkheden.,0.0
Dat vond-ie heel leuk.,1.0
"Ik snap dat jullie al lang aan de macht zijn... maar niet alles komt door de VVD, he.",1.0
"Dus het land loopt volledig leeg, en wat zegt Maduro?",0.0
Daar is vanochtend een auto een huis binnengereden.,0.0
En omdat Luther wilde dat iedereen ervan zou weten... timmerde hij ze op 31 oktober 1517 op de deur van een kerk.,0.0
Hogere straffen zijn geen oplossing.,1.0
Maar het is te verdedigen in het totale plaatje.,1.0
Op dit moment zijn er ruim 16.000 VN-militairen in Congo .,0.0
"Ja, ook in het weekend vergaderen politici door.",0.0
Toch testte Rijkswaterstaat vandaag al strooiwagens.,0.0
